origen,destino,salida_utc,llegada_utc,capacidad,asignado,residual
"OOMS","OPKC","2025-09-15T17:18:00Z","2025-09-15T20:27:00Z",340,0,340
"SKBO","SGAS","2025-09-15T14:47:00Z","2025-09-15T20:27:00Z",320,0,320
"OERK","OSDI","2025-09-15T17:43:00Z","2025-09-15T20:28:00Z",360,0,360
"OOMS","OAKB","2025-09-15T16:26:00Z","2025-09-15T20:28:00Z",300,0,300
"OERK","LBSF","2025-09-15T15:49:00Z","2025-09-15T20:29:00Z",360,0,360
"OAKB","OPKC","2025-09-15T17:06:00Z","2025-09-15T20:31:00Z",340,0,340
"EHAM","OSDI","2025-09-15T14:22:00Z","2025-09-15T20:32:00Z",340,0,340
"OSDI","VIDP","2025-09-15T14:38:00Z","2025-09-15T20:35:00Z",320,0,320
"OERK","OPKC","2025-09-15T16:56:00Z","2025-09-15T20:36:00Z",300,0,300
"UBBB","LDZA","2025-09-15T15:04:00Z","2025-09-15T20:36:00Z",340,0,340
"UBBB","OAKB","2025-09-15T16:21:00Z","2025-09-15T20:37:00Z",320,0,320
"OOMS","VIDP","2025-09-15T16:10:00Z","2025-09-15T20:39:00Z",360,0,360
"SABE","SGAS","2025-09-15T17:25:00Z","2025-09-15T20:40:00Z",300,0,300
"EDDI","EKCH","2025-09-15T18:18:00Z","2025-09-15T20:43:00Z",340,0,340
"EDDI","OJAI","2025-09-15T15:02:00Z","2025-09-15T20:44:00Z",340,0,340
"OPKC","UBBB","2025-09-15T15:44:00Z","2025-09-15T20:44:00Z",300,0,300
"LOWW","OSDI","2025-09-15T16:52:00Z","2025-09-15T20:50:00Z",320,0,320
"SABE","SCEL","2025-09-15T17:26:00Z","2025-09-15T20:50:00Z",360,0,360
"OERK","UBBB","2025-09-15T16:34:00Z","2025-09-15T20:51:00Z",320,0,320
"EBCI","EKCH","2025-09-15T18:55:00Z","2025-09-15T20:53:00Z",340,0,340
"LOWW","EHAM","2025-09-15T17:43:00Z","2025-09-15T20:55:00Z",360,0,360
"OJAI","UBBB","2025-09-15T16:48:00Z","2025-09-15T20:55:00Z",360,0,360
"SBBR","SUAA","2025-09-15T16:02:00Z","2025-09-15T20:55:00Z",320,0,320
"LKPR","EBCI","2025-09-15T18:03:00Z","2025-09-15T20:56:00Z",360,0,360
"LOWW","LDZA","2025-09-15T18:31:00Z","2025-09-15T20:56:00Z",340,0,340
"SABE","SPIM","2025-09-15T15:02:00Z","2025-09-15T20:56:00Z",300,0,300
"LATI","LOWW","2025-09-15T17:57:00Z","2025-09-15T20:58:00Z",360,0,360
"LBSF","EHAM","2025-09-15T16:42:00Z","2025-09-15T20:58:00Z",300,0,300
"LBSF","UMMS","2025-09-15T17:22:00Z","2025-09-15T20:58:00Z",340,0,340
"OMDB","LBSF","2025-09-15T14:36:00Z","2025-09-15T20:59:00Z",340,0,340
"LBSF","LDZA","2025-09-15T19:11:00Z","2025-09-15T21:00:00Z",360,0,360
"OMDB","UBBB","2025-09-15T17:50:00Z","2025-09-15T21:00:00Z",340,0,340
"OSDI","EHAM","2025-09-15T15:50:00Z","2025-09-15T21:00:00Z",300,0,300
"SKBO","SABE","2025-09-15T14:17:00Z","2025-09-15T21:00:00Z",300,0,300
"LATI","EBCI","2025-09-15T18:07:00Z","2025-09-15T21:02:00Z",300,0,300
"LDZA","OJAI","2025-09-15T17:15:00Z","2025-09-15T21:06:00Z",340,0,340
"LATI","OMDB","2025-09-15T15:23:00Z","2025-09-15T21:07:00Z",340,0,340
"LOWW","UMMS","2025-09-15T18:52:00Z","2025-09-15T21:08:00Z",360,0,360
"OJAI","OMDB","2025-09-15T17:32:00Z","2025-09-15T21:08:00Z",340,0,340
"EBCI","OSDI","2025-09-15T15:06:00Z","2025-09-15T21:09:00Z",320,0,320
"OJAI","OSDI","2025-09-15T19:51:00Z","2025-09-15T21:09:00Z",300,0,300
"SKBO","SEQM","2025-09-15T19:22:00Z","2025-09-15T21:09:00Z",320,0,320
"LDZA","EKCH","2025-09-15T18:44:00Z","2025-09-15T21:10:00Z",320,0,320
"EBCI","EDDI","2025-09-15T19:21:00Z","2025-09-15T21:11:00Z",360,0,360
"LKPR","OSDI","2025-09-15T16:54:00Z","2025-09-15T21:11:00Z",300,0,300
"OAKB","OJAI","2025-09-15T15:13:00Z","2025-09-15T21:13:00Z",360,0,360
"UMMS","EDDI","2025-09-15T18:57:00Z","2025-09-15T21:13:00Z",320,0,320
"UMMS","EKCH","2025-09-15T18:53:00Z","2025-09-15T21:13:00Z",300,0,300
"SBBR","SGAS","2025-09-15T18:19:00Z","2025-09-15T21:14:00Z",320,0,320
"LATI","EKCH","2025-09-15T17:12:00Z","2025-09-15T21:15:00Z",300,0,300
"OYSN","LBSF","2025-09-15T15:45:00Z","2025-09-15T21:17:00Z",340,0,340
"SGAS","SLLP","2025-09-15T18:23:00Z","2025-09-15T21:17:00Z",320,0,320
"UBBB","LATI","2025-09-15T16:00:00Z","2025-09-15T21:17:00Z",360,0,360
"SKBO","SVMI","2025-09-15T18:56:00Z","2025-09-15T21:19:00Z",360,0,360
"UBBB","LBSF","2025-09-15T17:28:00Z","2025-09-15T21:19:00Z",320,0,320
"OAKB","OSDI","2025-09-15T16:32:00Z","2025-09-15T21:22:00Z",360,0,360
"OJAI","LDZA","2025-09-15T17:31:00Z","2025-09-15T21:22:00Z",320,0,320
"EHAM","OJAI","2025-09-15T15:05:00Z","2025-09-15T21:24:00Z",360,0,360
"SVMI","SEQM","2025-09-15T17:15:00Z","2025-09-15T21:25:00Z",320,0,320
"UBBB","OMDB","2025-09-15T17:15:00Z","2025-09-15T21:25:00Z",320,0,320
"OPKC","OOMS","2025-09-15T18:18:00Z","2025-09-15T21:27:00Z",300,0,300
"SCEL","SPIM","2025-09-15T16:23:00Z","2025-09-15T21:27:00Z",300,0,300
"LBSF","OAKB","2025-09-15T14:21:00Z","2025-09-15T21:28:00Z",320,0,320
"LBSF","EKCH","2025-09-15T17:25:00Z","2025-09-15T21:29:00Z",320,0,320
"OOMS","LBSF","2025-09-15T15:38:00Z","2025-09-15T21:29:00Z",340,0,340
"SUAA","SBBR","2025-09-15T17:36:00Z","2025-09-15T21:29:00Z",340,0,340
"LOWW","OMDB","2025-09-15T14:09:00Z","2025-09-15T21:30:00Z",360,0,360
"EBCI","LBSF","2025-09-15T17:24:00Z","2025-09-15T21:33:00Z",340,0,340
"EKCH","UMMS","2025-09-15T18:13:00Z","2025-09-15T21:33:00Z",320,0,320
"LATI","OOMS","2025-09-15T14:21:00Z","2025-09-15T21:33:00Z",320,0,320
"SABE","SEQM","2025-09-15T14:10:00Z","2025-09-15T21:35:00Z",320,0,320
"LATI","LBSF","2025-09-15T19:10:00Z","2025-09-15T21:36:00Z",360,0,360
"OYSN","OPKC","2025-09-15T16:21:00Z","2025-09-15T21:37:00Z",360,0,360
"SBBR","SLLP","2025-09-15T17:47:00Z","2025-09-15T21:37:00Z",340,0,340
"EBCI","OJAI","2025-09-15T15:29:00Z","2025-09-15T21:40:00Z",360,0,360
"EHAM","EBCI","2025-09-15T19:25:00Z","2025-09-15T21:41:00Z",320,0,320
"UMMS","OAKB","2025-09-15T15:51:00Z","2025-09-15T21:41:00Z",360,0,360
"LKPR","OERK","2025-09-15T14:41:00Z","2025-09-15T21:42:00Z",320,0,320
"OERK","LKPR","2025-09-15T14:41:00Z","2025-09-15T21:42:00Z",300,0,300
"OOMS","LATI","2025-09-15T14:33:00Z","2025-09-15T21:45:00Z",320,0,320
"SUAA","SPIM","2025-09-15T15:41:00Z","2025-09-15T21:45:00Z",340,0,340
"OPKC","OSDI","2025-09-15T16:49:00Z","2025-09-15T21:48:00Z",300,0,300
"SVMI","SLLP","2025-09-15T16:11:00Z","2025-09-15T21:49:00Z",340,0,340
"LBSF","UBBB","2025-09-15T17:59:00Z","2025-09-15T21:50:00Z",300,0,300
"OAKB","UMMS","2025-09-15T15:06:00Z","2025-09-15T21:56:00Z",320,0,320
"OMDB","LDZA","2025-09-15T14:44:00Z","2025-09-15T21:56:00Z",300,0,300
"SVMI","SKBO","2025-09-15T18:35:00Z","2025-09-15T21:58:00Z",340,0,340
"SBBR","SEQM","2025-09-15T15:13:00Z","2025-09-15T21:59:00Z",360,0,360
"OYSN","UBBB","2025-09-15T17:27:00Z","2025-09-15T22:01:00Z",320,0,320
"OPKC","OERK","2025-09-15T18:22:00Z","2025-09-15T22:02:00Z",360,0,360
"OYSN","LOWW","2025-09-15T15:24:00Z","2025-09-15T22:02:00Z",320,0,320
"VIDP","OMDB","2025-09-15T18:16:00Z","2025-09-15T22:02:00Z",300,0,300
"EDDI","LKPR","2025-09-15T20:46:00Z","2025-09-15T22:03:00Z",300,0,300
"LATI","UMMS","2025-09-15T19:15:00Z","2025-09-15T22:07:00Z",340,0,340
"UBBB","EKCH","2025-09-15T16:02:00Z","2025-09-15T22:07:00Z",320,0,320
"OAKB","EHAM","2025-09-15T14:17:00Z","2025-09-15T22:08:00Z",360,0,360
"EHAM","LKPR","2025-09-15T20:16:00Z","2025-09-15T22:11:00Z",360,0,360
"UMMS","OERK","2025-09-15T16:44:00Z","2025-09-15T22:12:00Z",320,0,320
"SEQM","SGAS","2025-09-15T16:44:00Z","2025-09-15T22:14:00Z",320,0,320
"LATI","LKPR","2025-09-15T19:54:00Z","2025-09-15T22:15:00Z",340,0,340
"LKPR","OOMS","2025-09-15T14:10:00Z","2025-09-15T22:15:00Z",300,0,300
"OPKC","OOMS","2025-09-15T19:06:00Z","2025-09-15T22:15:00Z",360,0,360
"LKPR","EDDI","2025-09-15T20:59:00Z","2025-09-15T22:16:00Z",360,0,360
"SEQM","SPIM","2025-09-15T19:35:00Z","2025-09-15T22:16:00Z",300,0,300
"SUAA","SGAS","2025-09-15T19:01:00Z","2025-09-15T22:16:00Z",340,0,340
"EKCH","LKPR","2025-09-15T20:34:00Z","2025-09-15T22:17:00Z",360,0,360
"LATI","VIDP","2025-09-15T14:29:00Z","2025-09-15T22:17:00Z",360,0,360
"LDZA","UBBB","2025-09-15T17:45:00Z","2025-09-15T22:17:00Z",300,0,300
"OMDB","OAKB","2025-09-15T18:11:00Z","2025-09-15T22:17:00Z",300,0,300
"SABE","SKBO","2025-09-15T15:35:00Z","2025-09-15T22:18:00Z",360,0,360
"LDZA","LATI","2025-09-15T20:41:00Z","2025-09-15T22:19:00Z",360,0,360
"OOMS","UBBB","2025-09-15T18:46:00Z","2025-09-15T22:19:00Z",320,0,320
"SGAS","SABE","2025-09-15T19:04:00Z","2025-09-15T22:19:00Z",320,0,320
"OJAI","LOWW","2025-09-15T17:13:00Z","2025-09-15T22:20:00Z",340,0,340
"OJAI","OPKC","2025-09-15T16:20:00Z","2025-09-15T22:24:00Z",300,0,300
"SABE","SEQM","2025-09-15T15:59:00Z","2025-09-15T22:24:00Z",360,0,360
"UBBB","EDDI","2025-09-15T17:30:00Z","2025-09-15T22:24:00Z",300,0,300
"SUAA","SABE","2025-09-15T20:12:00Z","2025-09-15T22:25:00Z",360,0,360
"OAKB","OOMS","2025-09-15T18:26:00Z","2025-09-15T22:28:00Z",340,0,340
"VIDP","OERK","2025-09-15T17:34:00Z","2025-09-15T22:29:00Z",360,0,360
"VIDP","UMMS","2025-09-15T14:26:00Z","2025-09-15T22:32:00Z",360,0,360
"EBCI","LDZA","2025-09-15T19:17:00Z","2025-09-15T22:36:00Z",360,0,360
"LATI","LDZA","2025-09-15T20:00:00Z","2025-09-15T22:38:00Z",320,0,320
"OSDI","LDZA","2025-09-15T18:55:00Z","2025-09-15T22:39:00Z",300,0,300
"UBBB","OYSN","2025-09-15T17:06:00Z","2025-09-15T22:40:00Z",320,0,320
"LDZA","LKPR","2025-09-15T20:58:00Z","2025-09-15T22:41:00Z",340,0,340
"SPIM","SVMI","2025-09-15T17:15:00Z","2025-09-15T22:41:00Z",320,242,78
"SABE","SLLP","2025-09-15T18:54:00Z","2025-09-15T22:42:00Z",300,0,300
"SCEL","SGAS","2025-09-15T19:46:00Z","2025-09-15T22:42:00Z",320,0,320
"OSDI","OPKC","2025-09-15T17:44:00Z","2025-09-15T22:43:00Z",320,0,320
"SBBR","SPIM","2025-09-15T16:38:00Z","2025-09-15T22:43:00Z",320,0,320
"UBBB","LKPR","2025-09-15T17:57:00Z","2025-09-15T22:43:00Z",320,0,320
"SVMI","SGAS","2025-09-15T15:43:00Z","2025-09-15T22:45:00Z",300,0,300
"OOMS","OSDI","2025-09-15T17:46:00Z","2025-09-15T22:48:00Z",320,0,320
"SABE","SVMI","2025-09-15T14:34:00Z","2025-09-15T22:48:00Z",340,0,340
"SEQM","SLLP","2025-09-15T18:15:00Z","2025-09-15T22:52:00Z",320,0,320
"EKCH","EHAM","2025-09-15T20:06:00Z","2025-09-15T22:53:00Z",300,0,300
"OMDB","LATI","2025-09-15T16:09:00Z","2025-09-15T22:53:00Z",340,0,340
"UMMS","OSDI","2025-09-15T18:59:00Z","2025-09-15T22:53:00Z",300,0,300
"OAKB","LATI","2025-09-15T15:22:00Z","2025-09-15T22:55:00Z",340,0,340
"EHAM","LDZA","2025-09-15T19:28:00Z","2025-09-15T22:56:00Z",320,0,320
"OMDB","LOWW","2025-09-15T15:35:00Z","2025-09-15T22:56:00Z",360,0,360
"SABE","SUAA","2025-09-15T20:46:00Z","2025-09-15T22:59:00Z",360,0,360
"SGAS","SVMI","2025-09-15T16:58:00Z","2025-09-15T23:00:00Z",300,0,300
"SBBR","SVMI","2025-09-15T17:39:00Z","2025-09-15T23:01:00Z",360,0,360
"OPKC","EKCH","2025-09-15T14:58:00Z","2025-09-15T23:03:00Z",320,0,320
"OOMS","LKPR","2025-09-15T15:59:00Z","2025-09-15T23:04:00Z",320,0,320
"EDDI","EHAM","2025-09-15T21:19:00Z","2025-09-15T23:05:00Z",360,0,360
"OMDB","UMMS","2025-09-15T17:19:00Z","2025-09-15T23:09:00Z",360,0,360
"LOWW","LATI","2025-09-15T20:10:00Z","2025-09-15T23:11:00Z",300,0,300
"LOWW","OERK","2025-09-15T17:28:00Z","2025-09-15T23:11:00Z",340,0,340
"OAKB","EDDI","2025-09-15T15:07:00Z","2025-09-15T23:11:00Z",360,0,360
"OERK","OMDB","2025-09-15T20:02:00Z","2025-09-15T23:11:00Z",300,0,300
"OJAI","EBCI","2025-09-15T17:03:00Z","2025-09-15T23:14:00Z",340,0,340
"LBSF","OPKC","2025-09-15T16:37:00Z","2025-09-15T23:16:00Z",300,0,300
"OJAI","EKCH","2025-09-15T17:14:00Z","2025-09-15T23:17:00Z",300,0,300
"OMDB","OPKC","2025-09-15T20:45:00Z","2025-09-15T23:17:00Z",360,0,360
"OPKC","EDDI","2025-09-15T15:25:00Z","2025-09-15T23:19:00Z",360,0,360
"EDDI","LBSF","2025-09-15T20:39:00Z","2025-09-15T23:20:00Z",360,0,360
"SLLP","SABE","2025-09-15T19:32:00Z","2025-09-15T23:20:00Z",320,0,320
"LDZA","OSDI","2025-09-15T19:38:00Z","2025-09-15T23:22:00Z",320,0,320
"OMDB","EDDI","2025-09-15T16:36:00Z","2025-09-15T23:25:00Z",360,0,360
"OPKC","OAKB","2025-09-15T20:00:00Z","2025-09-15T23:25:00Z",320,0,320
"LKPR","VIDP","2025-09-15T14:12:00Z","2025-09-15T23:27:00Z",320,0,320
"SEQM","SBBR","2025-09-15T17:41:00Z","2025-09-15T23:27:00Z",320,0,320
"LBSF","EDDI","2025-09-15T20:47:00Z","2025-09-15T23:28:00Z",320,0,320
"OSDI","UMMS","2025-09-15T19:35:00Z","2025-09-15T23:29:00Z",340,0,340
"OAKB","LBSF","2025-09-15T16:23:00Z","2025-09-15T23:30:00Z",300,0,300
"OSDI","LATI","2025-09-15T19:19:00Z","2025-09-15T23:30:00Z",360,0,360
"EHAM","UMMS","2025-09-15T19:31:00Z","2025-09-15T23:33:00Z",300,0,300
"EKCH","OOMS","2025-09-15T15:02:00Z","2025-09-15T23:33:00Z",300,0,300
"LATI","EDDI","2025-09-15T20:55:00Z","2025-09-15T23:33:00Z",360,0,360
"LDZA","EBCI","2025-09-15T20:17:00Z","2025-09-15T23:36:00Z",340,0,340
"VIDP","OAKB","2025-09-15T20:20:00Z","2025-09-15T23:36:00Z",360,0,360
"OPKC","OYSN","2025-09-15T18:21:00Z","2025-09-15T23:37:00Z",300,0,300
"OYSN","OAKB","2025-09-15T17:31:00Z","2025-09-15T23:38:00Z",300,0,300
"VIDP","UBBB","2025-09-15T18:07:00Z","2025-09-15T23:38:00Z",300,0,300
"LBSF","LOWW","2025-09-15T20:34:00Z","2025-09-15T23:39:00Z",340,0,340
"LDZA","EDDI","2025-09-15T20:38:00Z","2025-09-15T23:39:00Z",320,0,320
"OOMS","OMDB","2025-09-15T21:13:00Z","2025-09-15T23:41:00Z",300,0,300
"LDZA","LBSF","2025-09-15T21:53:00Z","2025-09-15T23:42:00Z",340,0,340
"SLLP","SPIM","2025-09-15T20:24:00Z","2025-09-15T23:44:00Z",320,0,320
"OAKB","LDZA","2025-09-15T16:58:00Z","2025-09-15T23:46:00Z",300,0,300
"UMMS","LATI","2025-09-15T20:54:00Z","2025-09-15T23:46:00Z",360,0,360
"LATI","EHAM","2025-09-15T19:42:00Z","2025-09-15T23:48:00Z",320,0,320
"OERK","LKPR","2025-09-15T16:47:00Z","2025-09-15T23:48:00Z",360,0,360
"EHAM","EKCH","2025-09-15T21:02:00Z","2025-09-15T23:49:00Z",300,0,300
"LOWW","EBCI","2025-09-15T20:41:00Z","2025-09-15T23:49:00Z",300,0,300
"EBCI","OMDB","2025-09-15T15:21:00Z","2025-09-15T23:50:00Z",360,0,360
"LKPR","LBSF","2025-09-15T20:25:00Z","2025-09-15T23:50:00Z",300,0,300
"OJAI","VIDP","2025-09-15T16:46:00Z","2025-09-15T23:52:00Z",300,0,300
"LKPR","LDZA","2025-09-15T21:10:00Z","2025-09-15T23:53:00Z",360,0,360
"LOWW","LBSF","2025-09-15T20:49:00Z","2025-09-15T23:54:00Z",340,0,340
"VIDP","OSDI","2025-09-15T17:59:00Z","2025-09-15T23:56:00Z",320,0,320
"LBSF","OAKB","2025-09-15T16:50:00Z","2025-09-15T23:57:00Z",360,0,360
"OPKC","UMMS","2025-09-15T16:12:00Z","2025-09-15T23:58:00Z",360,0,360
"OPKC","OMDB","2025-09-15T21:28:00Z","2025-09-16T00:00:00Z",320,0,320
"UBBB","LOWW","2025-09-15T19:26:00Z","2025-09-16T00:00:00Z",300,0,300
"LBSF","EDDI","2025-09-15T21:20:00Z","2025-09-16T00:01:00Z",300,0,300
"OJAI","EDDI","2025-09-15T19:20:00Z","2025-09-16T00:02:00Z",320,0,320
"OJAI","LKPR","2025-09-15T19:37:00Z","2025-09-16T00:03:00Z",360,0,360
"UBBB","OERK","2025-09-15T20:47:00Z","2025-09-16T00:04:00Z",360,0,360
"EKCH","LBSF","2025-09-15T20:01:00Z","2025-09-16T00:05:00Z",360,0,360
"OAKB","OOMS","2025-09-15T20:03:00Z","2025-09-16T00:05:00Z",340,0,340
"EKCH","OAKB","2025-09-15T16:56:00Z","2025-09-16T00:06:00Z",340,0,340
